word,recall_probability,count,recalls,avg_frequency,need_odds,valence,arousal,log_freq,log_need,arousal_n
strikes,0.0097087378640776,103,1,1.8932038834951457,0.0098039215686274,3.11,5.6,0.638270570334111,-4.624972813284276,0.6943005181347149
developer,0.0097087378640776,103,1,1.9029126213592231,0.0098039215686274,5.68,3.89,0.6433856710008814,-4.624972813284276,0.3989637305699482
tin,0.0097087378640776,927,9,2.837108953613808,0.0098039215686274,5.05,2.47,1.0427855596059552,-4.624972813284276,0.15371329879101903
inspection,0.0096021947873799,729,7,2.6378600823045266,0.0096952908587257,4.32,4.05,0.9699680135801215,-4.63611498983752,0.4265975820379965
bonus,0.0095785440613026,522,5,2.2222222222222223,0.0096711798839458,8.11,6.53,0.7985076962177716,-4.638604962074333,0.8549222797927462
dollar,0.0095087163232963,2524,24,1.9952456418383515,0.0096,7.35,5.61,0.6907671715031338,-4.645992180508347,0.696027633851468
oil,0.009508348794063,4312,41,2.87917439703154,0.0095996253804729,3.9,4.25,1.057503585353434,-4.646031204137165,0.46113989637305697
estimates,0.0093023255813953,430,4,1.6953488372093024,0.0093896713615023,5.65,3.52,0.5278885233210501,-4.6681449851494845,0.33506044905008636
exceptional,0.0090497737556561,221,2,2.819004524886878,0.0091324200913242,7.53,4.94,1.0363838172697004,-4.695924549256556,0.5803108808290156
buffer,0.009009009009009,222,2,2.675675675675676,0.009090909090909,5.32,4.0,0.9842019374903656,-4.700480365792426,0.4179620034542314
textile,0.009009009009009,999,9,2.6046046046046047,0.009090909090909,4.8,3.21,0.9572808804238971,-4.700480365792426,0.2815198618307426
year,0.0087766433816944,11166,98,2.3654845065377037,0.0088543548970003,5.61,3.26,0.8609828663054954,-4.726845862236251,0.29015544041450775
shares,0.0087103798693443,4133,36,2.402855068957174,0.0087869172565291,6.47,3.11,0.8766576423916261,-4.734491339090769,0.2642487046632124
launch,0.008695652173913,115,1,1.8,0.0087719298245614,6.4,5.1,0.5877866649021191,-4.736198448394496,0.6079447322970638
